Year,Deaths-Total,Deaths-Male,Deaths-Female,Deaths-Unspecified,Death-rates-Total,Death-rates-Male,Death-rates-Female,Death-rates-Sex-ratio
1899,932087,476249,455828,10,21.5,21.8,21.1,104.5
1900,910744,464072,446664,8,20.8,21,20.5,103.9
1901,925810,468524,457278,8,20.9,21,20.7,102.5
1902,959126,486410,472710,6,21.3,21.5,21.1,102.9
1903,931008,472249,458755,4,20.4,20.6,20.3,102.9
1904,955400,481445,473950,5,20.7,20.8,20.7,101.6
1905,1004661,505290,499365,6,21.6,21.6,21.5,101.2
1906,955256,480077,475176,3,20.3,20.3,20.3,101
1907,1016798,512110,504681,7,21.4,21.5,21.4,101.5
1908,1029447,517755,511687,5,21.5,21.5,21.4,101.2
1909,1091264,550267,540992,5,22.5,22.6,22.3,101.7
1910,1064234,535076,529156,2,21.6,21.7,21.6,101.1
1911,1043906,526141,517762,3,20.9,21.1,20.8,101.6
1912,1037016,523604,513410,2,20.5,20.6,20.4,102
1913,1027257,521210,506042,5,20,20.3,19.8,103
1914,1101815,559337,542473,5,21.2,21.4,20.9,103.1
1915,1093793,556179,537610,4,20.7,21,20.5,103.5
1916,1187832,604156,583674,2,22.2,22.5,21.9,103.5
1917,1199669,609310,590359,-,22.2,22.4,21.9,103.2
1918,1493162,753392,739770,-,27.3,27.4,27.1,101.8
1919,1281965,648984,632981,-,23.3,23.5,23.1,102.5
1920,1422096,720655,701441,-,25.4,25.7,25.1,102.7
1921,1288570,659328,629242,-,22.7,23.2,22.3,104.8
1922,1286941,655740,631201,-,22.4,22.8,22.1,103.9
1923,1332485,679072,653405,8,22.9,23.3,22.6,103.9
1924,1254946,642969,611977,-,21.3,21.7,20.9,105.1
1925,1210706,621357,589349,-,20.3,20.7,19.8,105.4
1926,1160734,597292,563435,7,19.1,19.6,18.6,106
1927,1214323,624311,590012,-,19.7,20.2,19.2,105.8
1928,1236711,639214,597497,-,19.8,20.3,19.2,107
1929,1261228,645994,615234,-,19.9,20.3,19.5,105
1930,1170867,603995,566871,1,18.2,18.6,17.7,106.5
1931,1240891,642146,598745,-,19,19.5,18.4,107.2
1932,1175344,607267,568077,-,17.7,18.2,17.2,106.9
1933,1193987,618496,575491,-,17.7,18.3,17.1,107.5
1934,1234684,639098,595507,79,18.1,18.6,17.5,107.3
1935,1161936,603566,558367,3,16.8,17.4,16.2,108.1
1936,1230278,637854,592421,3,17.5,18.2,16.9,107.7
1937,1207899,625625,582274,-,17.1,17.8,16.4,107.4
1938,1259805,652936,606869,-,17.7,18.6,16.9,107.6
1939,1268760,658589,610171,-,17.8,18.7,16.9,107.9
1940,1186595,615311,571284,-,16.5,17.4,15.6,107.7
1941,1149559,597373,552186,-,16,17.2,14.9,108.2
1942,1166630,609038,557592,-,16.1,17.5,14.9,109.2
1943,1219073,638135,580938,-,16.7,18.4,15.2,109.8
1947,1138238,595670,542568,-,14.6,15.6,13.6,109.8
1948,950610,493573,457037,-,11.9,12.6,11.2,108
1949,945444,489817,455627,-,11.6,12.2,10.9,107.5
1950,904876,467073,437803,-,10.9,11.4,10.3,106.7
1951,838998,432540,406458,-,9.9,10.4,9.4,106.4
1952,765068,395205,369863,-,8.9,9.4,8.5,106.9
1953,772547,399859,372688,-,8.9,9.4,8.4,107.3
1954,721491,379658,341833,-,8.2,8.8,7.6,111.1
1955,693523,365246,328277,-,7.8,8.3,7.2,111.3
1956,724460,381395,343065,-,8,8.6,7.5,111.2
1957,752445,397502,354943,-,8.3,8.9,7.7,112
1958,684189,363647,320542,-,7.4,8,6.9,113.4
1959,689959,367562,322370,27,7.4,8,6.8,114
1960,706599,377526,329073,-,7.6,8.2,6.9,114.7
1961,695644,371858,323786,-,7.4,8,6.7,114.8
1962,710265,380826,329439,-,7.5,8.1,6.8,115.6
1963,670770,361469,309301,-,7,7.7,6.3,116.9
1964,673067,363531,309536,-,6.9,7.6,6.3,117.4
1965,700438,378716,321722,-,7.1,7.9,6.4,117.7
1966,670342,363356,306986,-,6.8,7.5,6.1,118.4
1967,675006,366076,308930,-,6.8,7.5,6.1,118.5
1968,686555,372931,313624,-,6.8,7.5,6.1,118.9
1969,693787,379506,314281,-,6.8,7.6,6.1,120.8
1970,712962,387880,325082,-,6.9,7.7,6.2,119.3
1971,684521,372942,311579,-,6.6,7.3,5.9,119.7
1972,683751,372833,310918,-,6.5,7.2,5.8,119.9
1973,709416,383592,325824,-,6.6,7.2,5.9,117.7
1974,710510,381869,328641,-,6.5,7.1,5.9,116.2
1975,702275,377827,324448,-,6.3,6.9,5.7,116.5
1976,703270,378630,324640,-,6.3,6.8,5.7,116.6
1977,690074,372175,317899,-,6.1,6.7,5.5,117.1
1978,695821,375625,320196,-,6.1,6.7,5.5,117.3
1979,689664,373183,316481,-,6,6.6,5.4,117.9
1980,722801,390644,332157,-,6.2,6.8,5.6,117.6
1981,720262,388575,331687,-,6.1,6.7,5.6,117.2
1982,711883,385494,326389,-,6,6.6,5.4,118.1
1983,740038,401232,338806,-,6.2,6.9,5.6,118.4
1984,740247,402220,338027,-,6.2,6.8,5.6,119
1985,752283,407769,344514,-,6.3,6.9,5.6,118.4
1986,750620,406918,343702,-,6.2,6.8,5.6,118.4
1987,751172,408094,343078,-,6.2,6.8,5.6,119
1988,793014,428094,364920,-,6.5,7.1,5.9,117.3
1989,788594,427114,361480,-,6.4,7.1,5.8,118.2
1990,820305,443718,376587,-,6.7,7.4,6,117.8
1991,829797,450344,379453,-,6.7,7.5,6.1,118.7
1992,856643,465544,391099,-,6.9,7.7,6.2,119
1993,878532,476462,402070,-,7.1,7.8,6.4,118.5
1994,875933,476080,399853,-,7.1,7.8,6.3,119.1
1995,922139,501276,420863,-,7.4,8.2,6.6,119.1
1996,896211,488605,407606,-,7.2,8,6.4,119.9
1997,913402,497796,415606,-,7.3,8.1,6.5,119.8
1998,936484,512128,424356,-,7.5,8.4,6.6,120.7
1999,982031,534778,447253,-,7.8,8.7,7,119.6
2000,961653,525903,435750,-,7.7,8.6,6.8,120.7
2001,970331,528768,441563,-,7.7,8.6,6.9,119.7
2002,982379,535305,447074,-,7.8,8.7,6.9,119.7
2003,1014951,551746,463205,-,8,9,7.2,119.1
2004,1028602,557097,471505,-,8.2,9,7.3,118.2
2005,1083796,584970,498826,-,8.6,9.5,7.7,117.3
2006,1084451,581370,503081,-,8.6,9.4,7.8,115.6
2007,1108334,592784,515550,-,8.8,9.6,8,115
2008,1142407,608711,533696,-,9.1,9.9,8.3,114.1
2009,1141865,609042,532823,-,9.1,9.9,8.3,114.3
2010,1197014,633701,563313,-,9.5,10.3,8.7,112.5
2011,1253068,656542,596526,-,9.9,10.7,9.2,110.1
2012,1256359,655526,600833,-,10,10.7,9.3,109.1
2013,1268438,658685,609753,-,10.1,10.8,9.5,108
2014,1273025,660340,612685,-,10.1,10.8,9.5,107.8
2015,1290510,666728,623782,-,10.3,10.9,9.7,106.9
2016,1308158,674946,633212,-,10.5,11.1,9.9,106.6
2017,1340567,690770,649797,-,10.8,11.4,10.2,106.3
2018,1362470,699138,663332,-,11,11.6,10.4,105.4
2019,1381093,707421,673672,-,11.2,11.7,10.6,105
